Reporting date,"Loans to households, overdrafts, interest rate (%)","Loans to households, loans for house purchases with original maturity, up to 1 year, interest rate (%)","Loans to households, loans for house purchases with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to households, loans for house purchases with original maturity, over 5 years, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, up to 1 year, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, over 5 years, interest rate (%)","Loans to non-financial corporations, overdrafts, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, up to 1 year, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, over 5 years, interest rate (%)","Loans to households, overdrafts, volumes (€ million)","Loans to households, loans for house purchases with original maturity, up to 1 year, volumes (€ million)","Loans to households, loans for house purchases with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to households, loans for house purchases with original maturity, over 5 years, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, up to 1 year, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, over 5 years, volumes (€ million)","Loans to non-financial corporations, overdrafts, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, up to 1 year, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, over 5 years, volumes (€ million)"
31/07/2019,14.04,3.28,2.74,2.51,13.53,7.33,3.87,4.57,3.44,2.94,3.08,1590,33,91,74447,3136,9366,3575,3789,12691,19980,20126
30/08/2019,14.05,3.3,3.15,2.51,13.55,7.35,3.85,4.64,3.52,2.95,3.07,1588,33,97,75539,3138,9344,3599,3621,12159,19760,20054
30/09/2019,14.07,3.14,3.11,2.52,13.61,7.34,3.85,4.55,3.46,2.94,3.04,1614,32,94,75936,3163,9380,3721,3788,11629,19608,19648
31/10/2019,14.14,3.1,3.24,2.52,13.55,7.37,3.87,4.5,3.47,2.91,3.04,1586,31,88,75898,3083,9453,3634,3630,11481,19853,19184
29/11/2019,14.12,3.35,3.23,2.52,13.55,7.37,3.86,4.47,3.63,2.92,3.05,1569,32,82,76295,3098,9417,3620,3604,11799,19913,19185
31/12/2019,14.05,4.38,3.14,2.53,13.52,7.42,3.86,4.53,3.75,2.88,3.06,1621,31,82,76403,3179,9355,3564,3427,11498,19478,19027
31/01/2020,14.12,2.96,3.08,2.52,13.59,7.41,3.87,4.55,3.86,2.89,3.06,1565,28,83,76330,3034,9415,3554,3357,10693,19222,18827
28/02/2020,14.07,2.95,3.07,2.52,13.5,7.43,3.89,4.68,3.91,2.91,3.07,1542,28,78,75577,2993,9463,3497,3364,10685,19417,18987
31/03/2020,14.04,2.97,3.01,2.5,13.29,7.44,3.9,4.6,3.85,2.77,3.04,1318,27,76,73268,1928,8893,3469,3650,11572,22176,19382
30/04/2020,13.97,2.9,2.96,2.5,13.12,7.39,3.91,4.41,3.52,2.75,3.07,1226,27,76,73191,1758,8802,3442,4236,11755,22436,20117
29/05/2020,13.93,2.94,2.98,2.5,13.12,7.34,3.9,4.31,3.44,2.72,3.07,1189,27,75,73096,1580,8768,3472,4442,11148,23588,20199
30/06/2020,14.01,3.19,2.99,2.5,13.16,7.36,3.89,4.32,3.52,2.75,3.08,1199,27,74,73309,1639,8755,3480,4247,11486,22760,20105
31/07/2020,14.03,3.2,2.98,2.48,13.37,7.39,3.88,4.36,3.49,2.76,3.04,1160,27,73,74145,1667,8591,3490,3784,10915,22080,19869
31/08/2020,13.95,3.17,2.99,2.48,13.29,7.44,3.87,4.3,3.48,2.77,3,1199,28,72,74071,1700,8571,3517,3801,10604,22169,20042
30/09/2020,13.94,3.12,2.99,2.47,13.29,7.45,3.86,3.95,3.29,2.83,3,1208,28,71,74325,1721,8593,3509,3662,10289,21146,19775
30/10/2020,13.37,3.03,2.79,2.47,13.28,7.45,3.85,3.89,3.27,2.8,3.01,1035,28,67,74433,1656,8699,3487,3306,9871,20730,19444
30/11/2020,13.37,2.95,2.84,2.49,13.29,7.47,3.83,3.95,3.3,2.83,2.99,1049,28,66,73251,1685,8649,3465,2904,10155,19885,19498
31/12/2020,12.16,2.93,2.77,2.5,12.17,7.17,3.83,2.8,3.18,2.73,2.94,1251,27,64,73699,2183,8767,4656,2638,9764,19068,17982
29/01/2021,10.96,3,2.7,2.5,10.62,6.79,3.66,2.69,3.06,2.69,2.91,1443,27,63,73508,2417,9291,6735,2171,8859,18969,15818
26/02/2021,10.64,3.71,2.69,2.49,10.41,6.78,3.67,2.73,3.13,2.68,2.9,1439,25,61,71838,2366,9309,6660,2291,8860,18412,15955
31/03/2021,10.98,3.1,2.74,2.46,10.54,6.78,3.67,2.66,2.55,2.69,2.89,1408,23,70,74007,2328,9295,6660,2207,9244,18204,16079
30/04/2021,10.82,3.2,2.74,2.46,10.63,6.72,3.67,2.65,2.44,2.69,2.82,1371,22,72,73768,2326,9259,6534,2201,9738,17628,16424
31/05/2021,10.85,3.2,2.67,2.46,10.69,6.76,3.67,2.55,2.35,2.7,2.79,1389,22,72,73677,2344,9162,6511,2311,9924,17257,16469
30/06/2021,11,2.89,2.67,2.46,10.79,6.71,3.68,2.5,2.59,2.73,2.81,1436,21,68,73595,2388,9216,6463,2406,10216,17284,16741
30/07/2021,11.05,2.9,2.62,2.44,10.83,6.69,3.67,2.49,2.38,2.73,2.83,1376,20,66,68749,2365,9311,6397,2416,10285,16996,17023
31/08/2021,10.89,2.65,2.67,2.44,10.85,6.69,3.67,2.63,2.32,2.71,2.86,1457,19,66,68780,2445,9298,6352,3828,9470,16973,16507
30/09/2021,11.11,2.68,2.68,2.44,11.04,6.7,3.67,2.6,2.25,2.69,2.87,1426,18,66,69097,2420,9303,6326,3902,10828,16905,16675
29/10/2021,11.09,2.85,2.68,2.44,11.01,6.72,3.67,2.57,2.1,2.7,2.89,1415,17,62,69225,2448,9347,6263,4062,10650,17425,16936
30/11/2021,11.22,3,2.66,2.45,11,6.71,3.67,2.53,2.07,2.68,2.88,1467,16,62,69779,2565,9341,6216,4220,11000,17021,16831
31/12/2021,11.01,3,2.67,2.44,10.93,6.59,3.67,2.28,2.76,2.63,2.87,1489,15,60,70161,2549,9249,6181,4376,9766,17336,17161
31/01/2022,11.84,3.39,2.73,2.47,10.85,6.61,3.67,3.37,2.89,2.59,2.85,1499,16,60,86059,2483,9271,6152,4516,10463,18147,17224
28/02/2022,11.48,1.91,2.76,2.46,10.71,6.76,3.68,3.93,2.86,2.67,2.89,1541,16,58,84838,2536,9267,6048,4261,10324,17294,17877
31/03/2022,11.63,1.99,2.73,2.46,10.92,6.77,3.68,3.6,2.91,2.61,2.83,1501,16,58,84452,2434,9300,6034,4638,11826,17987,18110
29/04/2022,11.77,1.99,2.8,2.47,11.02,6.75,3.69,3.67,2.91,2.64,2.82,1467,16,58,84154,2467,9342,5999,4924,11378,18574,18169
31/05/2022,11.77,1.98,2.76,2.47,11.06,6.73,3.7,3.65,2.72,2.66,2.84,1517,16,57,84011,2494,9385,5966,5472,11862,18524,18101
30/06/2022,11.67,2.75,2.78,2.46,11.02,6.73,3.71,3.5,2.77,2.69,2.89,1525,7,55,83714,2372,9359,5806,6060,13248,18665,18374
29/07/2022,11.65,2.78,2.77,2.46,11.05,6.7,3.74,3.39,2.77,2.68,2.93,1489,7,54,83431,2304,9509,5812,6326,13064,19310,18225
31/08/2022,11.82,2.78,2.84,2.55,11.24,6.7,3.86,2.79,2.55,2.67,2.99,1517,7,54,83240,2341,9540,5641,7951,13327,20009,18685
30/09/2022,11.69,3.21,2.97,2.71,11.29,6.78,4.08,3.61,2.99,3.2,3.45,1507,7,53,83331,2345,9562,5703,6652,14168,19856,18373
28/10/2022,11.92,3.29,3.02,2.77,11.52,6.79,4.26,3.81,3.34,3.49,3.67,1475,7,53,83320,2283,9716,5638,6802,14171,20198,18096
30/11/2022,11.52,2.93,3.03,2.89,11.27,6.83,4.52,3.91,3.59,3.73,3.87,1592,6,49,83064,2449,9654,5445,6879,13880,20397,17772
30/12/2022,11.91,3.06,3.06,2.96,11.65,6.95,4.65,4.27,3.86,4.23,4.36,1513,6,49,83377,2389,9626,5395,6151,13789,19733,17461
31/01/2023,11.67,3.18,3.14,3.06,11.49,6.93,4.75,4.51,4.14,4.41,4.49,1574,6,49,83240,2391,9723,5343,6750,13214,20035,17738
28/02/2023,11.48,3.53,3.13,3.12,11.37,6.94,4.71,4.66,4.31,4.48,4.55,1565,6,50,82747,2342,9768,5369,6732,12629,20587,17659
31/03/2023,11.79,3.86,3.25,3.24,11.61,6.94,4.85,4.57,4.49,4.81,4.86,1459,6,49,82824,2288,9879,5369,6790,12973,20378,17742
28/04/2023,11.87,3.99,3.35,3.3,11.73,6.96,4.94,5.14,4.61,5,4.96,1425,6,48,82867,2294,10021,5355,6729,12085,20932,17650
31/05/2023,11.72,3.8,3.41,3.34,11.59,6.95,5.01,5.28,4.76,5.16,5.03,1532,5,47,82903,2372,10094,5337,6963,12451,21016,17774
30/06/2023,11.46,4.01,3.46,3.4,11.63,6.99,5.07,5.34,5.04,5.36,5.25,1526,5,46,83141,2387,10141,5336,6462,13668,20191,17434
31/07/2023,11.88,4.02,3.63,3.45,11.88,6.98,5.14,5.8,5.28,5.6,5.28,"1,469",5,46,"83,450","2,297","10,381","5,111","6,692","12,737","20,509","17,318"
31/08/2023,11.72,4.2,3.63,3.53,11.82,6.98,5.16,5.95,5.26,5.64,5.31,"1,540",5,44,"83,600","2,348","10,417","5,080","6,570","12,335","20,532","17,457"
29/09/2023,11.78,4.33,3.66,3.57,11.98,7.01,5.12,8.91,4.91,6.29,5.47,"1,515",4,44,"83,815","2,327","10,459","5,050","6,660","12,865","20,106","17,802"
31/10/2023,11.99,4.25,3.73,3.6,12.08,7.04,5.16,6.18,5.29,5.73,5.53,"1,479",4,44,"83,899","2,291","10,586","5,038","7,406","12,401","21,202","17,792"
30/11/2023,11.71,4.26,3.65,3.61,12.02,7.05,5.14,6.24,5.33,5.77,5.54,"1,542",4,42,"83,689","2,405","10,462","4,812","7,181","12,364","20,761","17,953"
29/12/2023,12.02,4.34,3.69,3.63,12.17,7.1,5.15,6.1,4.97,5.8,5.49,"1,478",4,43,"84,165","2,366","10,395","4,762","6,884","12,948","20,271","17,960"
31/01/2024,11.97,4.43,3.72,3.67,12.12,7.08,5.14,6.25,5.32,5.77,5.5,"1,522",4,42,"84,048","2,337","10,524","4,719","6,632","12,413","20,446","17,741"
29/02/2024,11.64,4.42,3.87,3.69,11.88,7.08,5.14,6.21,5.39,5.76,5.47,"1,564",4,41,"83,921","2,354","10,569","4,707","6,644","12,326","19,958","17,681"
28/03/2024,11.66,4.43,3.9,3.71,11.88,7.09,5.18,6.3,5.55,5.76,5.57,"1,509",4,41,"84,127","2,320","10,644","4,684","6,386","11,560","19,339","18,828"
30/04/2024,11.81,4.35,3.79,3.7,12.05,7.05,5.15,6.23,5.46,5.79,5.53,"1,525",4,40,"84,112","2,338","10,818","4,640","6,457","12,186","19,775","18,515"
31/05/2024,11.6,4.38,3.81,3.71,11.98,7.05,5.15,6.15,5.52,5.76,5.48,"1,538",3,39,"84,186","2,331","10,851","4,624","6,738","11,768","19,717","18,817"
28/06/2024,11.54,4.25,3.73,3.69,11.94,7.06,5.1,6.08,5.3,5.65,5.38,"1,526",4,37,"84,544","2,331","10,907","4,618","6,533","12,564","19,350","18,497"
31/07/2024,11.7,4.25,3.75,3.69,12.04,7.04,5.1,6.06,5.03,5.65,5.38,"1,526",4,36,"84,772","2,319","11,164","4,559","7,033","12,506","20,083","19,243"
30/08/2024,11.52,4.26,3.77,3.69,11.99,7.08,5.08,5.97,5.08,5.66,5.35,"1,526",4,37,"84,868","2,314","11,151","4,529","7,059","11,849","19,678","19,272"
30/09/2024,11.71,3.47,3.7,3.64,12.09,7.11,5.03,5.97,4.7,5.46,5.1,"1,532",3,36,"85,087","2,337","11,126","4,543","7,209","12,412","18,847","21,224"
31/10/2024,11.62,3.5,3.68,3.59,11.95,7.09,4.96,5.75,4.46,5.32,5.2,"1,514",3,39,"85,415","2,307","11,267","4,543","6,654","11,539","19,095","20,049"
29/11/2024,11.57,3.47,3.72,3.58,11.84,7.06,4.95,5.58,4.3,5.3,5.08,"1,497",3,37,"85,384","2,379","11,287","4,527","6,835","12,004","19,272","19,977"
31/12/2024,11.7,3.58,3.69,3.56,11.98,7.07,4.89,5.34,4.29,5.12,4.91,"1,520",3,36,"86,007","2,404","11,190","4,429","6,387","12,389","18,524","20,889"
