"Date","MDD","MDD_4qra","GNI","ratio","ratio1","GNIq","unemployment","GNI_cl","CPI_all_q","CPI","GNI_cl_qoq","GNIq_qoq","GNI_lcl","GNI_lq","GNI_rlcl","GNI_rlq","GNI_rcl","GNI_rq","rpp_price_index","rpp_price_index_g","rpp_price_index_l","NFC_credit_total","HH_credit_total","NFC_credit_national","growth_NFC","rpp_price_index_r","Nat_cred","Nat_cred_r","Nat_cred_l","Nat_cred_rl","HH_credit_r","NFC_credit_r","Nat_cred_ratio","Nat_cred_ratio_l","Nat_cred_ratio_cl","Tota_cred","Tota_cred_l","Tot_cred_ratio","Tot_cred_ratio_cl","Nat_cred_l_sa","GNI_sa","GNI_l_sa","rpp_price_index_sa","rpp_price_index_l_sa","Nat_cred_rl_sa","HH_cred_rl_sa","NFC_cred_rl_sa","GNI_rl_sa","rpp_price_index_rl_sa"
1975-10-01,NA,NA,NA,NA,NA,5142.00006214654,NA,5142.00006214654,14.9,0.118946248004258,NA,NA,0.711132077555753,0.711132077555753,1.63578133018832,1.63578133018832,611.62161462999,611.62161462999,6.29565809469605,NA,0.799041134278136,3.14852970644153,0.632640806791648,1.39896836220067,0.945001891538252,0.748844909081729,2.03160916899232,0.241652288062684,0.708828173122559,-1.42025541223728,0.075250250302253,0.166402037760431,0.000395100961578794,-3.40329191335106,0.000395100961578794,3.78117051323318,0.577626262468728,0.000735350149267544,0.000735350149267544,0.287339075212179,5.13032978590659,0.710145283161719,6.21352647458687,0.793338153117554,-0.642733376027067,-1.07607253078517,-0.827217791391148,-0.200592237656544,-0.142701295146548
1976-01-01,NA,NA,NA,NA,NA,5440.08347834193,NA,5440.08347834193,16,0.127727514635444,0.0579703252805783,0.0579703252805783,0.73560556401897,0.73560556401897,1.62932110240789,1.62932110240789,694.848342097958,694.848342097958,6.67888707660516,NA,0.824704100685599,3.33177079816891,0.672180055092305,1.37415277739028,1.01805882520393,0.853077646825566,2.04633283248258,0.261373006809909,0.716049329022007,-1.34180674704947,0.0858558878244562,0.175517118985453,0.000376158351361601,-3.42462929165419,0.000376158351361601,4.00395085326121,0.602488738065909,0.000736009083169725,0.000736009083169725,0.312391917545498,5.4317404413722,0.734939008773724,6.66132762969289,0.823560794453818,-0.594639655709612,-1.03687930399544,-0.774928060934931,-0.163536013768533,-0.060568098910943
1976-04-01,NA,NA,NA,NA,NA,5738.16689453732,NA,5738.16689453732,17,0.13571048430016,0.0547939047961521,0.0547939047961521,0.758773175545139,0.758773175545139,1.62615977521171,1.62615977521171,778.729408252803,778.729408252803,6.9107808899826,NA,0.839527123647598,3.27267021873859,0.738090547047145,1.45715619387529,0.943037392399051,0.937865421471827,2.19524674092243,0.297917998368931,0.786294450652577,-1.21093700360246,0.100166625597138,0.197751372771793,0.000382569343358118,-3.41728983447558,0.000382569343358118,4.01076076578574,0.603226757918387,0.000698962027333842,0.000698962027333842,0.333962189932783,5.75050107032014,0.759705688619019,6.99878731272247,0.845022795868824,-0.562612352400436,-1.08918596899387,-0.706675483560083,-0.110620581250827,-0.0344103067991378
1976-07-01,NA,NA,NA,NA,NA,6036.25031073271,NA,6036.25031073271,17.2,0.137307078233103,0.0519474985084805,0.0519474985084805,0.780767240764915,0.780767240764915,1.64307431490221,1.64307431490221,828.819893650366,828.819893650366,7.04657974843688,NA,0.847978371344406,3.4703504284311,0.794840981978153,1.60246985590894,0.909318941945882,0.967545276794419,2.39731083788709,0.329167746766828,0.874347624928441,-1.11118778956341,0.10913729289535,0.220030453871478,0.000397152323790247,-3.40104289199328,0.000397152323790247,4.26519141040925,0.62993852591836,0.00070659617988763,0.00070659617988763,0.401744150988632,6.04392945616792,0.781319386676948,7.05826449959892,0.848697928969251,-0.426684733130383,-0.946215958930877,-0.608273746217524,-0.0848313154177462,-0.00272754219057125
1976-10-01,NA,NA,NA,NA,NA,6334.3337269281,NA,6334.3337269281,17.9,0.142895156998403,0.0493822159205997,0.0493822159205997,0.801700940618664,0.801700940618664,1.64668343068361,1.64668343068361,905.145612389672,905.145612389672,7.76297626867237,23.3068275294763,0.890028258532296,3.81642817316087,0.861737911490934,1.7346041962555,0.923824500925457,1.10929171268682,2.59634210774643,0.371004713107992,0.954103572804279,-0.991540512660267,0.123138174153973,0.247866538954019,0.000409884009853955,-3.38733902378559,0.000409884009853955,4.67816608465181,0.670075636106614,0.000738541145182215,0.000738541145182215,0.398403128432033,6.32266345068815,0.800900065349676,7.68084464856319,0.885408981234611,-0.447329491031791,-0.880019008993031,-0.637657150122226,-0.0345059632222426,0.0335808709067796
1977-01-01,NA,NA,NA,NA,NA,6678.38899074017,NA,6678.38899074017,18.6,0.148483235763704,0.0543159357628165,0.0543159357628165,0.824671711455686,0.824671711455686,1.65299428828261,1.65299428828261,991.628807033798,991.628807033798,7.7716075520487,16.3608167485138,0.890510861628856,4.13111816079537,0.919240711427491,1.75008047034257,0.991156821443736,1.15395343641383,2.66932118177006,0.396349446361813,0.981824201050505,-0.925459016541595,0.136491835278483,0.25985761108333,0.000399695373460751,-3.39827087874038,0.000399695373460751,5.05035887222286,0.703322239641134,0.000756224125193271,0.000756224125193271,0.427486495434831,6.67004595377043,0.824128826030518,7.75404810513643,0.889528490987737,-0.409732745233263,-0.846201190251638,-0.598171054848009,-0.00744584761505798,0.0684459226675737
1977-04-01,NA,NA,NA,NA,NA,7022.44425455223,NA,7022.44425455223,19.3,0.154071314529005,0.0515177034894365,0.0515177034894365,0.846488300378216,0.846488300378216,1.65876651241529,1.65876651241529,1081.95721750552,1081.95721750552,8.23194266545304,19.1174021648626,0.915502336953103,4.16797631960794,1.00202113015242,1.85743914451,0.942200704402755,1.26830622759375,2.85946027466242,0.440560803360708,1.05063289186982,-0.819706810530599,0.154382712708423,0.286178090652285,0.000407188746683009,-3.3902042329331,0.000407188746683009,5.16999744976036,0.713490328866616,0.000736210536154695,0.000736210536154695,0.450521626658987,7.03477843033506,0.847250423306199,8.31994908819292,0.920120668744506,-0.380474746182533,-0.867574962304122,-0.545293057372901,0.0327663904674896,0.098389569786787
1977-07-01,NA,NA,NA,NA,NA,7366.4995183643,NA,7366.4995183643,19.5,0.155667908461948,0.048993662511317,0.048993662511317,0.86726116479229,0.86726116479229,1.67506207447462,1.67506207447462,1146.72757270972,1146.72757270972,8.80793697610022,24.9959170341336,0.944874198444414,4.42366079767468,1.04706503290941,1.91457676718643,0.970156525632344,1.37111312693417,2.96164180009585,0.461032584634399,1.08574377676229,-0.77428655597926,0.162994423696649,0.29803816093775,0.000402041945799715,-3.39572863378363,0.000402041945799715,5.47072583058409,0.738044950338056,0.000742649316265596,0.000742649316265596,0.489441734752979,7.37417866379951,0.867713655613774,8.81962172726226,0.945449958682203,-0.295637449548938,-0.777177254261871,-0.488843856413734,0.0570837738217822,0.14529187593913
1977-10-01,NA,NA,NA,NA,NA,7710.55478217637,NA,7710.55478217637,19.9,0.158861096327834,0.0467053941908713,0.0467053941908713,0.887085627100212,0.887085627100212,1.68606807173535,1.68606807173535,1224.90718599236,1224.90718599236,9.08241178746755,16.9965161959825,0.958201188488827,4.55973925938534,1.14291884201931,1.93590484508664,0.988982889342761,1.44284189385794,3.07882368710594,0.489105306333754,1.12454760426476,-0.715177462316053,0.181565340256925,0.307539966076829,0.000399299891393408,-3.39870080793051,0.000399299891393408,5.70265810140465,0.756077334565224,0.000739591152972137,0.000739591152972137,0.474966003519486,7.69888450593642,0.886427804651574,9.00028016735837,0.954256028688651,-0.323212704407932,-0.720682022861873,-0.537602951777595,0.0946049531250738,0.150431277197941
1978-01-01,NA,NA,NA,NA,NA,8060.96785470139,NA,8060.96785470139,20.2,0.161255987227249,0.0454458962323989,0.0454458962323989,0.906387189289087,0.906387189289087,1.69887134088731,1.69887134088731,1299.87932941699,1299.87932941699,10.1457858994316,30.5493854583148,1.00628569341638,4.61053402290464,1.23755416515733,1.97527694013533,0.980067556984695,1.63606872140914,3.21283110529266,0.51808825167838,1.1671525127056,-0.657609681198498,0.199563018649638,0.318525233028742,0.000398566420708258,-3.39949929348153,0.000398566420708258,5.84808818806197,0.767013913077695,0.000725482137315707,0.000725482137315707,0.507790089177993,8.05262481773165,0.905937465218768,10.1282264525193,1.00553340297937,-0.291559184510041,-0.687048892924272,-0.50735647167592,0.111010993295039,0.218224536033394
